Feature,LabelType,BinSampleSize,2Sigma_Threshold,3Sigma_Threshold
Al,Comparison,5609 - 7477,0.75,0.65
Al,Host,490 - 612,0.90,0.80
BaII,Host,245 - 367,0.75,0.65
BaII,Comparison,3739 - 5608,0.55,0.30
C,Host,490 - 612,0.80,0.70
C,Comparison,5609 - 7477,0.90,0.85
Ca,Comparison,7478 - 9347,0.95,0.90
Ca,Host,490 - 612,0.90,0.90
CeII,Host,123 - 244,0.85,0.75
CeII,Comparison,3739 - 5608,0.80,0.60
Co,Host,368 - 489,0.90,0.85
Co,Comparison,3739 - 5608,0.90,0.90
Cr,Comparison,5609 - 7477,0.85,0.75
Cr,Host,490 - 612,0.90,0.85
CrII,Comparison,1870 - 3738,0.70,0.55
CrII,Host,245 - 367,0.85,0.70
Cu,Comparison,3739 - 5608,0.95,0.95
Cu,Host,245 - 367,0.05,0.05
EuII,Host,123 - 244,0.80,0.70
EuII,Comparison,1870 - 3738,0.70,0.40
f_bv,Comparison,7478 - 9347,0.95,0.95
f_bv,Host,368 - 489,0.90,0.90
f_dist,Host,490 - 612,0.35,0.15
f_dist,Comparison,7478 - 9347,0.95,0.95
f_logg,Host,490 - 612,0.90,0.90
f_logg,Comparison,7478 - 9347,0.95,0.95
f_mass,Host,368 - 489,0.90,0.90
f_mass,Comparison,5609 - 7477,0.95,0.95
f_radius,Host,490 - 612,0.90,0.85
f_radius,Comparison,7478 - 9347,0.95,0.90
f_teff,Comparison,7478 - 9347,0.95,0.95
f_teff,Host,490 - 612,0.90,0.90
f_u,Comparison,5609 - 7477,0.90,0.85
f_u,Host,245 - 367,0.40,0.10
f_v,Comparison,5609 - 7477,0.95,0.95
f_v,Host,245 - 367,0.75,0.65
f_vmag,Comparison,7478 - 9347,0.95,0.95
f_vmag,Host,368 - 489,0.80,0.70
f_w,Comparison,5609 - 7477,0.95,0.90
f_w,Host,245 - 367,0.80,0.70
Fe,Comparison,7478 - 9347,0.95,0.95
Fe,Host,490 - 612,0.95,0.90
LaII,Host,123 - 244,0.75,0.60
LaII,Comparison,1870 - 3738,0.95,0.95
Li,Comparison,1870 - 3738,0.85,0.75
Li,Host,245 - 367,0.35,0.15
Mg,Host,490 - 612,0.95,0.90
Mg,Comparison,7478 - 9347,0.95,0.95
Mn,Comparison,5609 - 7477,0.05,0.05
Mn,Host,490 - 612,0.85,0.80
N,Comparison,1870 - 3738,0.85,0.80
N,Host,368 - 489,0.10,0.05
Na,Comparison,5609 - 7477,0.90,0.85
Na,Host,490 - 612,0.85,0.80
NdII,Comparison,3739 - 5608,0.90,0.80
NdII,Host,123 - 244,0.75,0.50
Ni,Host,490 - 612,0.85,0.80
Ni,Comparison,7478 - 9347,0.90,0.80
O,Comparison,5609 - 7477,0.95,0.95
O,Host,490 - 612,0.90,0.90
S,Host,245 - 367,0.80,0.65
S,Comparison,1870 - 3738,0.95,0.90
Sc,Comparison,3739 - 5608,0.95,0.90
Sc,Host,368 - 489,0.40,0.15
ScII,Host,245 - 367,0.90,0.85
ScII,Comparison,3739 - 5608,0.50,0.35
Si,Host,490 - 612,0.90,0.90
Si,Comparison,7478 - 9347,0.95,0.90
SmII,Comparison,1870 - 3738,0.95,0.95
SmII,Host,123 - 244,0.75,0.65
Sr,Comparison,1870 - 3738,0.90,0.85
Sr,Host,123 - 244,0.30,0.05
Ti,Comparison,7478 - 9347,0.95,0.95
Ti,Host,490 - 612,0.95,0.90
TiII,Host,368 - 489,0.90,0.80
TiII,Comparison,1870 - 3738,0.35,0.05
V,Host,490 - 612,0.90,0.80
V,Comparison,5609 - 7477,0.25,0.05
Y,Comparison,3739 - 5608,0.90,0.85
Y,Host,368 - 489,0.85,0.70
YII,Host,123 - 244,0.85,0.75
YII,Comparison,1870 - 3738,0.55,0.25
Zn,Host,245 - 367,0.85,0.80
Zn,Comparison,3739 - 5608,0.35,0.25
Zr,Comparison,3739 - 5608,0.95,0.95
Zr,Host,123 - 244,0.60,0.45
ZrII,Comparison,1870 - 3738,0.55,0.30
ZrII,Host,123 - 244,0.75,0.65
