Feature,LabelType,JupiterBinSampleSize,Jupiter_2Sigma_Threshold,Jupiter_3Sigma_Threshold,RockyBinSampleSize,Rocky_2Sigma_Threshold,Rocky_3Sigma_Threshold
EuII,Comparison,1870 - 3738,0.65,0.40,3673 - 5508,0.75,0.65
Mg,Comparison,7478 - 9347,1.00,1.00,5509 - 7344,1.00,1.00
Sr,Host,123 - 244,0.85,0.75,0 - 155,0.10,0.05
K,Host,0 - 122,0.65,0.45,0 - 155,0.05,0.05
YII,Comparison,1870 - 3738,0.05,0.05,1837 - 3672,0.05,0.05
Co,Comparison,3739 - 5608,1.00,1.00,5509 - 7344,1.00,1.00
f_logg,Host,490 - 612,0.95,0.90,621 - 775,0.95,0.95
Ni,Comparison,7478 - 9347,0.90,0.85,5509 - 7344,0.85,0.75
NdII,Comparison,3739 - 5608,0.65,0.45,3673 - 5508,0.75,0.65
NdII,Host,123 - 244,0.85,0.75,0 - 155,0.20,0.05
f_logg,Comparison,7478 - 9347,1.00,1.00,7345 - 9181,1.00,1.00
CrII,Comparison,1870 - 3738,1.00,0.95,1837 - 3672,1.00,0.95
VII,Host,0 - 122,0.75,0.65,0 - 155,0.25,0.05
CrII,Host,245 - 367,0.95,0.90,0 - 155,0.80,0.70
Sc,Host,368 - 489,0.90,0.80,0 - 155,0.05,0.05
O,Host,490 - 612,0.90,0.85,621 - 775,0.95,0.90
Y,Host,368 - 489,0.90,0.85,621 - 775,0.55,0.30
N,Host,368 - 489,0.70,0.45,621 - 775,0.90,0.85
