Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
V,Host,490 - 612,0.9,0.8,621 - 775,0.8,0.7,363 - 453,0.8,0.8
Y,Host,368 - 489,0.9,0.9,621 - 775,0.9,0.8,363 - 453,0.9,0.8
Y,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
YII,Host,123 - 244,0.6,0.4,0 - 155,0.7,0.5,0 - 90,0.6,0.4
YII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
Zn,Host,245 - 367,0.8,0.8,0 - 155,0.8,0.8,91 - 181,0.8,0.7
Zn,Comparison,3739 - 5608,1.0,1.0,3673 - 5508,1.0,1.0,3803 - 5704,1.0,1.0
Zr,Comparison,3739 - 5608,0.2,0.2,3673 - 5508,0.2,0.2,3803 - 5704,0.2,0.2
Zr,Host,123 - 244,0.8,0.7,0 - 155,0.5,0.4,0 - 90,0.7,0.5
ZrII,Host,123 - 244,0.8,0.8,0 - 155,0.7,0.5,0 - 90,0.8,0.7
ZrII,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.9,0.8,1902 - 3802,0.9,0.8
