Feature,LabelType,GiantPlanetBinSampleSize,GiantPlanet_2Sigma_Threshold,GiantPlanet_3Sigma_Threshold,LowMassPlanetBinSampleSize,LowMassPlanet_2Sigma_Threshold,LowMassPlanet_3Sigma_Threshold,MultiPlanetBinSampleSize,MultiPlanet_2Sigma_Threshold,MultiPlanet_3Sigma_Threshold
Na,Host,490 - 612,0.8,0.5,621 - 775,1.0,0.9,363 - 453,0.9,0.8
NdII,Comparison,3739 - 5608,0.9,0.9,3673 - 5508,0.9,0.9,3803 - 5704,0.9,0.9
NdII,Host,123 - 244,0.4,0.2,0 - 155,0.2,0.2,0 - 90,0.5,0.2
Ni,Host,490 - 612,0.9,0.8,621 - 775,0.2,0.2,363 - 453,0.6,0.4
Ni,Comparison,7478 - 9347,0.8,0.8,5509 - 7344,0.8,0.6,7606 - 9507,0.8,0.7
O,Comparison,5609 - 7477,1.0,0.9,5509 - 7344,0.9,0.9,5705 - 7605,0.9,0.9
O,Host,490 - 612,0.7,0.5,621 - 775,0.8,0.7,363 - 453,0.5,0.2
PrII,Host,0 - 122,0.5,0.4,0 - 155,0.4,0.2,0 - 90,0.7,0.5
PrII,Comparison,0 - 1869,0.8,0.7,0 - 1836,0.8,0.7,0 - 1901,0.8,0.6
S,Host,245 - 367,0.8,0.7,0 - 155,0.2,0.2,0 - 90,0.7,0.5
S,Comparison,1870 - 3738,0.8,0.7,1837 - 3672,0.8,0.7,1902 - 3802,0.8,0.7
Sc,Comparison,3739 - 5608,0.9,0.8,3673 - 5508,0.9,0.8,3803 - 5704,0.9,0.8
Sc,Host,368 - 489,0.9,0.8,0 - 155,0.2,0.2,91 - 181,0.7,0.5
ScII,Host,245 - 367,0.2,0.2,0 - 155,0.5,0.2,91 - 181,0.2,0.2
ScII,Comparison,3739 - 5608,1.0,1.0,3673 - 5508,1.0,1.0,3803 - 5704,1.0,1.0
Si,Host,490 - 612,0.9,0.8,621 - 775,1.0,0.9,363 - 453,0.9,0.8
Si,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
SiII,Host,0 - 122,0.6,0.5,0 - 155,0.2,0.2,0 - 90,0.2,0.2
SiII,Comparison,0 - 1869,0.9,0.8,0 - 1836,0.9,0.8,0 - 1901,0.9,0.8
SmII,Comparison,1870 - 3738,0.9,0.8,1837 - 3672,0.9,0.9,1902 - 3802,0.9,0.9
SmII,Host,123 - 244,0.8,0.8,0 - 155,0.4,0.2,0 - 90,0.8,0.6
Sr,Comparison,1870 - 3738,1.0,0.9,3673 - 5508,0.9,0.9,1902 - 3802,1.0,0.9
Sr,Host,123 - 244,0.2,0.2,0 - 155,0.7,0.5,0 - 90,0.2,0.2
Ti,Comparison,7478 - 9347,1.0,1.0,7345 - 9181,1.0,1.0,7606 - 9507,1.0,1.0
Ti,Host,490 - 612,0.9,0.8,621 - 775,1.0,0.9,363 - 453,0.9,0.9
TiII,Host,368 - 489,0.8,0.8,0 - 155,0.2,0.2,91 - 181,0.6,0.5
TiII,Comparison,1870 - 3738,0.8,0.8,1837 - 3672,0.8,0.6,1902 - 3802,0.8,0.7
V,Host,490 - 612,0.9,0.9,621 - 775,1.0,0.9,363 - 453,0.9,0.9
V,Comparison,5609 - 7477,1.0,1.0,5509 - 7344,1.0,1.0,5705 - 7605,1.0,1.0
VII,Comparison,0 - 1869,0.2,0.2,0 - 1836,0.2,0.2,0 - 1901,0.2,0.2
VII,Host,0 - 122,0.7,0.5,0 - 155,0.2,0.2,0 - 90,0.6,0.2
Y,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Y,Host,368 - 489,0.9,0.9,621 - 775,0.9,0.8,363 - 453,0.8,0.8
YII,Host,123 - 244,0.7,0.6,0 - 155,0.8,0.6,0 - 90,0.7,0.5
YII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
Zn,Host,245 - 367,0.5,0.2,0 - 155,0.5,0.4,91 - 181,0.2,0.2
Zn,Comparison,3739 - 5608,1.0,0.9,3673 - 5508,1.0,0.9,3803 - 5704,1.0,0.9
Zr,Comparison,3739 - 5608,0.8,0.8,3673 - 5508,0.8,0.8,3803 - 5704,0.8,0.8
Zr,Host,123 - 244,0.8,0.6,0 - 155,0.2,0.2,0 - 90,0.5,0.2
ZrII,Comparison,1870 - 3738,1.0,1.0,1837 - 3672,1.0,1.0,1902 - 3802,1.0,1.0
ZrII,Host,123 - 244,0.9,0.8,0 - 155,0.8,0.7,0 - 90,0.8,0.7
