obs_id,target
1314S-hi55738.97461,KIC 10585852
275S-hi55664.11994,KIC 10586004
275Sc-hi56912.96681,KIC 10586004
1308S-hi55796.97863,KIC 10586208
87S-hi55809.79659,KIC 10593626
87Sc-hi56485.06083,KIC 10593626
87Sc-hi56487.03742,KIC 10593626
87Sc-hi56521.98602,KIC 10593626
87Sc-hi56829.88845,KIC 10593626
87Sc-hi56895.99370,KIC 10593626
87Sc-hi56908.84948,KIC 10593626
87Sc-hi57209.91363,KIC 10593626
87ScH1-hi55425.88591,KIC 10593626
87ScH1-hi55440.91592,KIC 10593626
87ScH1-hi55464.74907,KIC 10593626
87ScH1-hi55672.01394,KIC 10593626
87ScH1-hi55751.99308,KIC 10593626
87ScH1-hi55759.94314,KIC 10593626
87ScH1-hi55760.84732,KIC 10593626
87ScH1-hi55769.91331,KIC 10593626
87ScH1-hi55781.77964,KIC 10593626
87ScH1-hi55787.80476,KIC 10593626
87ScH1-hi55788.86620,KIC 10593626
87ScH1-hi55789.89557,KIC 10593626
87ScH1-hi55790.77160,KIC 10593626
87ScH1-hi55791.85153,KIC 10593626
87ScH1-hi55794.95650,KIC 10593626
87ScH1-hi55796.91038,KIC 10593626
87ScH1-hi55798.93912,KIC 10593626
87ScH1-hi55809.79659,KIC 10593626
87ScH1-hi55877.75988,KIC 10593626
87ScH1-hi55914.70342,KIC 10593626
87ScH1-hi56075.95060,KIC 10593626
87ScH1-hi56113.92706,KIC 10593626
87ScH1-hi56163.93608,KIC 10593626
87ScH1-hi56178.73253,KIC 10593626
476S-hi58304.05088,KIC 10599206
597S-hi57230.92642,KIC 10600261
749S-hi57216.08133,KIC 10601284
203S-hi55797.04631,KIC 10619192
203ScH1-hi55455.79092,KIC 10619192
598S-hi56894.77529,KIC 10656823
1837S-hi56109.88793,KIC 10657406
2S-hi55726.10345,KIC 10666592
1797S-hi55809.01282,KIC 10676014
209S-hi56134.85217,KIC 10723750
209ScH1-hi55352.06811,KIC 10723750
1305S-hi57223.05857,KIC 10730034
3S-hi55726.09186,KIC 10748390
1288S-hi56179.86394,KIC 10790387
752S-hi57236.89625,KIC 10797460
431S-hi56849.97175,KIC 10843590
1306S-hi56208.91747,KIC 10858691
1299S-hi55636.10805,KIC 10864656
756S-hi56883.06383,KIC 10872983
117S-hi55669.12792,KIC 10875245
117Sc-hi56525.83909,KIC 10875245
117Sc-hi56533.94753,KIC 10875245
117ScH1-hi56074.04456,KIC 10875245
341S-hi55673.12594,KIC 10878263
46S-hi55735.89155,KIC 10905239
757S-hi56881.97736,KIC 10910878
156S-hi55763.00072,KIC 10925104
433S-hi56153.07227,KIC 10937029
433Sc-hi56853.95513,KIC 10937029
433Sc-hi56880.86487,KIC 10937029
433Sc-hi56907.88016,KIC 10937029
433ScH1-hi56153.07227,KIC 10937029
1612S-hi55703.98731,KIC 10963065
1612Sc-hi56494.07241,KIC 10963065
1612Sc-hi56494.90789,KIC 10963065
1612Sc-hi56494.91974,KIC 10963065
1612Sc-hi56846.97167,KIC 10963065
1612Sc-hi56866.09296,KIC 10963065
1612Sc-hi56891.73818,KIC 10963065
1612Sc-hi56910.92528,KIC 10963065
1612Sc-hi56910.92805,KIC 10963065
1612Sc-hi56911.95158,KIC 10963065
1612Sc-hi56911.95620,KIC 10963065
1612Sc-hi57264.97264,KIC 10963065
1612Sc-hi57264.97503,KIC 10963065
1307S-hi57210.01436,KIC 10973814
343S-hi55673.08125,KIC 10982872
112S-hi55704.04716,KIC 10984090
1432S-hi56209.84700,KIC 11014932
344S-hi55706.04713,KIC 11015108
479S-hi55851.85045,KIC 11015323
1800S-hi56075.89112,KIC 11017901
759S-hi56863.84539,KIC 11018648
1439S-hi56495.08398,KIC 11027624
1439Sc-hi56474.87768,KIC 11027624
1439Sc-hi56487.77979,KIC 11027624
1439Sc-hi56495.08398,KIC 11027624
1439Sc-hi56518.83675,KIC 11027624
1439Sc-hi56531.81201,KIC 11027624
1439Sc-hi57265.03397,KIC 11027624
1444S-hi55789.08411,KIC 11043167
345S-hi55706.00380,KIC 11074541
346S-hi55706.09730,KIC 11100383
2792S-hi56172.97601,KIC 11127479
276S-hi55664.12667,KIC 11133306
481S-hi57245.88884,KIC 11192998
1438S-hi55850.87414,KIC 11193263
348S-hi55791.03493,KIC 11194032
107S-hi55704.03473,KIC 11250587
294S-hi55704.02708,KIC 11259686
241S-hi55878.79731,KIC 11288051
246S-hi55410.86073,KIC 11295426
246Sc-hi56345.15520,KIC 11295426
246Sc-hi56475.84358,KIC 11295426
246Sc-hi56498.07016,KIC 11295426
246Sc-hi56513.04411,KIC 11295426
246Sc-hi56519.91955,KIC 11295426
246Sc-hi56846.88202,KIC 11295426
246Sc-hi56892.75950,KIC 11295426
246Sc-hi56892.76584,KIC 11295426
246Sc-hi56892.77232,KIC 11295426
246Sc-hi56906.73510,KIC 11295426
246Sc-hi56906.74109,KIC 11295426
246Sc-hi56906.74724,KIC 11295426
246Sc-hi57203.07461,KIC 11295426
246Sc-hi57203.08251,KIC 11295426
246Sc-hi57218.10324,KIC 11295426
246Sc-hi57233.05913,KIC 11295426
246Sc-hi57233.06571,KIC 11295426
246ScH1-hi55313.08184,KIC 11295426
246ScH1-hi55319.10946,KIC 11295426
246ScH1-hi55322.05055,KIC 11295426
246ScH1-hi55372.98274,KIC 11295426
246ScH1-hi55377.92904,KIC 11295426
246ScH1-hi55381.00021,KIC 11295426
246ScH1-hi55396.96276,KIC 11295426
246ScH1-hi55400.01974,KIC 11295426
246ScH1-hi55410.86073,KIC 11295426
246ScH1-hi55412.92253,KIC 11295426
246ScH1-hi55426.91336,KIC 11295426
246ScH1-hi55431.01815,KIC 11295426
246ScH1-hi55431.78406,KIC 11295426
246ScH1-hi55434.87008,KIC 11295426
246ScH1-hi55434.87648,KIC 11295426
246ScH1-hi55435.93125,KIC 11295426
246ScH1-hi55436.96846,KIC 11295426
246ScH1-hi55436.97455,KIC 11295426
246ScH1-hi55437.94035,KIC 11295426
246ScH1-hi55437.94979,KIC 11295426
246ScH1-hi55438.99142,KIC 11295426
246ScH1-hi55439.00262,KIC 11295426
246ScH1-hi55439.92352,KIC 11295426
246ScH1-hi55439.93155,KIC 11295426
246ScH1-hi55440.97122,KIC 11295426
246ScH1-hi55440.98030,KIC 11295426
246ScH1-hi55455.80996,KIC 11295426
246ScH1-hi55490.82964,KIC 11295426
246ScH1-hi55672.02642,KIC 11295426
246ScH1-hi55672.99840,KIC 11295426
246ScH1-hi55673.99577,KIC 11295426
246ScH1-hi55696.97392,KIC 11295426
